country,happiness_score,economy_gdp_per_capita,family,health_life_expectancy,freedom,generosity1,trust_government_corruption,year
El Salvador,6.34829998,0.748940408,0.8060922620000001,0.752730012,0.5240439179999999,0.11893630000000001,0.11703035199999999,2020
Estonia,5.428999999999999,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184,2015
Estonia,5.517,1.2796399999999999,1.0516299999999998,0.68098,0.41511000000000003,0.08423,0.18519000000000002,2016
Estonia,5.61100006103516,1.3208793401718102,1.47667109966278,0.695168316364288,0.479131430387497,0.0988908112049103,0.18324892222881303,2017
Estonia,5.739,1.2,1.5319999999999998,0.737,0.5529999999999999,0.086,0.174,2018
Estonia,5.893,1.237,1.528,0.8740000000000001,0.495,0.10300000000000001,0.161,2019
Estonia,6.0218000410000005,1.192441225,0.9347299929999999,0.842615008,0.576664805,0.12513674800000002,0.201766819,2020
Ethiopia,4.512,0.19072999999999998,0.60406,0.44055,0.4345,0.24325,0.15048,2015
Ethiopia,4.508,0.29283000000000003,0.37932,0.34578000000000003,0.36703,0.29522,0.1717,2016
Ethiopia,4.46000003814697,0.339233845472336,0.8646692037582401,0.35340970754623396,0.408842742443085,0.31265074014663696,0.16545571386814098,2017
Ethiopia,4.35,0.308,0.95,0.391,0.452,0.22,0.146,2018
Ethiopia,4.2860000000000005,0.336,1.033,0.532,0.344,0.209,0.1,2019
